County,School District,Use Elementary School District,Code Number
Albany,Albany,,005
Albany,Berne-Knox-Westerlo,,050
Albany,Bethlehem,,051
Albany,Cairo-Durham,,076
Albany,Cohoes,,122
Albany,Duanesburg,,153
Albany,Green Island,,236
Albany,Greenville,,240
Albany,Guilderland,,246
Albany,Menands,,388
Albany,Middleburgh,,393
Albany,Mohonasen,,402
Albany,Niskayuna,,439
Albany,North Colonie (including Maplewood),,443
Albany,Ravena-Coeymans-Selkirk,,524
Albany,Schalmont,,568
Albany,Schoharie,,572
Albany,South Colonie,,595
Albany,Voorheesville,,660
Albany,Watervliet,,674
Allegany,Alfred-Almond,,010
Allegany,Andover,,017
Allegany,Arkport,,021
Allegany,Belfast,,044
Allegany,Bolivar-Richburg,,054
Allegany,Canaseraga,,083
Allegany,Canisteo-Greenwood,,086
Allegany,Cuba-Rushford,,138
Allegany,Dalton-Nunda (Keshequa),,320
Allegany,Fillmore,,192
Allegany,Friendship,,209
Allegany,Genesee Valley,,018
Allegany,Hinsdale,,277
Allegany,Letchworth,,339
Allegany,Pioneer,,498
Allegany,Portville,,512
Allegany,Scio,,575
Allegany,Wellsville,,683
Allegany,Whitesville,,702
Bronx,Bronx,,068
Kings (Brooklyn),Brooklyn,,071
Broome,Afton,,003
Broome,Bainbridge-Guilford,,031
Broome,Binghamton,,053
Broome,Chenango Forks,,107
Broome,Chenango Valley,,108
Broome,Cincinnatus,,113
Broome,Deposit,,146
Broome,Greene,,238
Broome,Harpursville,,259
Broome,Johnson City,,313
Broome,Maine Endwell,,364
Broome,Marathon,,372
Broome,Newark Valley,,432
Broome,South Mountain-Hickory,,720
Broome,Susquehanna Valley,,627
Broome,Union-Endicott,,651
Broome,Vestal,,658
Broome,Whitney Point,,703
Broome,Windsor,,710
Cattaraugus,Allegany-Limestone,,011
Cattaraugus,Cattaraugus-Little Valley,,094
Cattaraugus,Cuba-Rushford,,138
Cattaraugus,Ellicottville,,181
Cattaraugus,Forestville,,198
Cattaraugus,Franklinville,,205
Cattaraugus,Frewsburg,,208
Cattaraugus,Gowanda,,230
Cattaraugus,Hinsdale,,277
Cattaraugus,Olean,,462
Cattaraugus,Pine Valley,,497
Cattaraugus,Pioneer,,498
Cattaraugus,Portville,,512
Cattaraugus,Randolph,,522
Cattaraugus,Salamanca,,556
Cattaraugus,Springville-Griffith Institute,,244
Cattaraugus,Ten Broeck Academy and Franklinville,,205
Cattaraugus,West Valley,,690
Cayuga,Auburn,,025
Cayuga,Cato-Meridian,,092
Cayuga,Groton,,245
Cayuga,Hannibal,,257
Cayuga,Homer,,281
Cayuga,Jordan-Elbridge,,315
Cayuga,Moravia,,407
Cayuga,Oswego,,472
Cayuga,Port Byron,,507
Cayuga,Red Creek,,525
Cayuga,Skaneateles,,588
Cayuga,Southern Cayuga,,609
Cayuga,Union Springs,,650
Cayuga,Weedsport,,681
Chautauqua ,Bemus Point,,048
Chautauqua ,Brocton,,067
Chautauqua ,Cassadaga Valley,,091
Chautauqua ,Chautauqua Lake,,104
Chautauqua ,Clymer,,119
Chautauqua ,Dunkirk,,155
Chautauqua ,Falconer,,189
Chautauqua ,Forestville,,198
Chautauqua ,Fredonia,,206
Chautauqua ,Frewsburg,,208
Chautauqua ,Gowanda,,230
Chautauqua ,Jamestown,,306
Chautauqua ,Panama,,479
Chautauqua ,Pine Valley,,497
Chautauqua ,Randolph,,522
Chautauqua ,Ripley,,536
Chautauqua ,Sherman,,583
Chautauqua ,Silver Creek,,587
Chautauqua ,Southwestern,,611
Chautauqua ,Westfield Academy and Central,,692
Chemung,Corning-Painted Post,,132
Chemung,Elmira,,182
Chemung,Elmira Heights,,183
Chemung,Horseheads,,287
Chemung,Newfield,,436
Chemung,Odessa Montour,,460
Chemung,Spencer Van Etten,,613
Chemung,Watkins Glen,,675
Chemung,Waverly,,676
Chenango,Afton,,003
Chenango,Bainbridge-Guilford,,031
Chenango,Brookfield,,070
Chenango,Chenango Forks,,107
Chenango,Cincinnatus,,113
Chenango,DeRuyter,,141
Chenango,Gilbertsville-Mount. Upton,,222
Chenango,Greene,,238
Chenango,Harpursville,,259
Chenango,Norwich,,455
Chenango,Otselic Valley,,606
Chenango,Oxford Academy and Central,,475
Chenango,Sherburne-Earlville,,582
Chenango,Sidney,,586
Chenango,Unadilla Valley,,422
Chenango,Whitney Point,,703
Clinton,AuSable Valley,,026
Clinton,Beekmantown,,043
Clinton,Chateaugay,,102
Clinton,Chazy,,105
Clinton,Northeastern Clinton,,418
Clinton,Northern Adirondack,,453
Clinton,Peru,,492
Clinton,Plattsburgh,,503
Clinton,Saranac,,560
Clinton,Saranac Lake,,561
Columbia,Chatham,,103
Columbia,East Greenbush,,158
Columbia,Germantown,,221
Columbia,Hudson,,289
Columbia,Ichabod Crane,,294
Columbia,New Lebanon,,426
Columbia,Pine Plains,,496
Columbia,Red Hook,,526
Columbia,Schodack,,571
Columbia,Taconic Hills,,632
Columbia,Webutuck,,680
Cortland,Cincinnatus,,113
Cortland,Cortland,,134
Cortland,DeRuyter,,141
Cortland,Dryden,,152
Cortland,Fabius-Pompey,,187
Cortland,Greene,,238
Cortland,Groton,,245
Cortland,Homer,,281
Cortland,Marathon,,372
Cortland,McGraw,,385
Cortland,Newark Valley,,432
Cortland,Tully,,646
Cortland,Whitney Point,,703
Delaware,Andes,,016
Delaware,Bainbridge Guilford,,031
Delaware,Charlotte Valley,,101
Delaware,Delhi,,144
Delaware,Deposit,,146
Delaware,Downsville,,150
Delaware,Franklin,,203
Delaware,Gilboa-Conesville,,223
Delaware,Hancock,,256
Delaware,Jefferson,,310
Delaware,Livingston Manor,,349
Delaware,Margaretville,,375
Delaware,Oneonta,,464
Delaware,Roscoe,,545
Delaware,Roxbury,,547
Delaware,Sidney,,586
Delaware,South Kortright,,601
Delaware,Stamford,,620
Delaware,Sullivan West,,143
Delaware,Unatego,,649
Delaware,Walton,,663
Delaware,Worcester,,711
Dutchess,Arlington,,022
Dutchess,Beacon,,040
Dutchess,Carmel,,089
Dutchess,Dover,,149
Dutchess,Haldane,,249
Dutchess,Hyde Park,,293
Dutchess,Millbrook,,396
Dutchess,Pawling,,483
Dutchess,Pine Plains,,496
Dutchess,Poughkeepsie,,514
Dutchess,Red Hook,,526
Dutchess,Rhinebeck,,531
Dutchess,Spackenkill,,612
Dutchess,Taconic Hills,,632
Dutchess,Wappingers,,665
